Game_ID,Week,Day,Home,Winner,Loser,W_Pts,L_Pts,W_Yards,L_Yards,TOW,TOL
200809040nyg,1,Thu,nyg,nyg,was,16,7,354,209,1,0
200809070nor,1,Sun,nor,nor,tam,24,20,438,352,1,1
200809070buf,1,Sun,buf,buf,sea,34,10,338,252,0,2
200809070phi,1,Sun,phi,phi,ram,38,3,522,166,0,0
200809070mia,1,Sun,mia,nyj,mia,20,14,293,277,1,1
200809070nwe,1,Sun,nwe,nwe,kan,17,10,338,284,2,1
200809070pit,1,Sun,pit,pit,htx,38,17,305,234,1,3
200809070atl,1,Sun,atl,atl,det,34,21,474,316,0,1
200809070oti,1,Sun,oti,oti,jax,17,10,309,189,2,3
200809070rav,1,Sun,rav,rav,cin,17,10,358,154,2,2
200809070sdg,1,Sun,sdg,car,sdg,26,24,388,316,1,1
200809070cle,1,Sun,cle,dal,cle,28,10,487,205,1,0
200809070sfo,1,Sun,sfo,crd,sfo,23,13,285,291,0,5
200809070clt,1,Sun,clt,chi,clt,29,13,319,293,0,1
200809080gnb,1,Mon,gnb,gnb,min,24,19,317,355,0,1
200809080rai,1,Mon,rai,den,rai,41,14,441,307,0,1
200809140kan,2,Sun,kan,rai,kan,23,8,355,190,2,2
200809140ram,2,Sun,ram,nyg,ram,41,13,441,201,0,1
200809140cin,2,Sun,cin,oti,cin,24,7,295,215,1,2
200809140was,2,Sun,was,was,nor,29,24,455,250,1,3
200809140det,2,Sun,det,gnb,det,48,25,447,311,1,3
200809140jax,2,Sun,jax,buf,jax,20,16,285,243,1,2
200809140car,2,Sun,car,car,chi,20,17,216,256,1,2
200809140min,2,Sun,min,clt,min,18,15,321,299,2,1
200809140tam,2,Sun,tam,tam,atl,24,9,311,234,1,2
200809140sea,2,Sun,sea,sfo,sea,33,30,365,351,1,3
200809140crd,2,Sun,crd,crd,mia,31,10,445,236,0,0
200809140den,2,Sun,den,den,sdg,39,38,486,456,1,1
200809140nyj,2,Sun,nyj,nwe,nyj,19,10,260,256,0,1
200809140cle,2,Sun,cle,pit,cle,10,6,281,208,0,2
200809150dal,2,Mon,dal,dal,phi,41,37,380,337,2,1
200809210oti,3,Sun,oti,oti,htx,31,12,343,317,2,3
200809210chi,3,Sun,chi,tam,chi,27,24,454,405,4,2
200809210nyg,3,Sun,nyg,nyg,cin,26,23,406,347,0,0
200809210was,3,Sun,was,was,crd,24,17,323,313,0,2
200809210buf,3,Sun,buf,buf,rai,24,23,378,247,3,1
200809210nwe,3,Sun,nwe,mia,nwe,38,13,461,215,0,2
200809210atl,3,Sun,atl,atl,kan,38,14,378,301,1,3
200809210min,3,Sun,min,min,car,20,10,305,204,1,2
200809210sea,3,Sun,sea,sea,ram,37,13,407,240,1,2
200809210den,3,Sun,den,den,nor,34,32,369,502,2,1
200809210sfo,3,Sun,sfo,sfo,det,31,13,370,240,0,2
200809210phi,3,Sun,phi,phi,pit,15,6,260,181,3,3
200809210clt,3,Sun,clt,jax,clt,23,21,403,325,1,2
200809210rav,3,Sun,rav,rav,cle,28,10,273,169,2,3
200809210gnb,3,Sun,gnb,dal,gnb,27,16,453,334,2,1
200809220sdg,3,Mon,sdg,sdg,nyj,48,29,357,308,1,4
200809280kan,4,Sun,kan,kan,den,33,19,370,446,1,4
200809280jax,4,Sun,jax,jax,htx,30,27,375,386,0,0
200809280cin,4,Sun,cin,cle,cin,20,12,261,211,2,5
200809280nyj,4,Sun,nyj,nyj,crd,56,35,373,468,1,7
200809280tam,4,Sun,tam,tam,gnb,30,21,327,181,3,4
200809280nor,4,Sun,nor,nor,sfo,31,17,467,312,2,3
200809280oti,4,Sun,oti,oti,min,30,17,275,333,1,4
200809280car,4,Sun,car,car,atl,24,9,401,268,0,0
200809280ram,4,Sun,ram,buf,ram,31,14,277,380,1,2
200809280rai,4,Sun,rai,sdg,rai,28,18,295,323,2,2
200809280dal,4,Sun,dal,was,dal,26,24,381,344,0,1
200809280chi,4,Sun,chi,chi,phi,24,20,256,340,4,2
200809290pit,4,Mon,pit,pit,rav,23,20,237,243,1,1
200810050htx,5,Sun,htx,clt,htx,31,27,314,391,1,3
200810050rav,5,Sun,rav,oti,rav,13,10,210,285,2,2
200810050gnb,5,Sun,gnb,atl,gnb,27,24,370,408,1,1
200810050det,5,Sun,det,chi,det,34,7,425,185,1,2
200810050mia,5,Sun,mia,mia,sdg,17,10,390,202,1,0
200810050nyg,5,Sun,nyg,nyg,sea,44,6,523,187,0,1
200810050car,5,Sun,car,car,kan,34,0,441,127,2,3
200810050phi,5,Sun,phi,was,phi,23,17,388,254,0,0
200810050den,5,Sun,den,den,tam,16,13,333,307,1,1
200810050sfo,5,Sun,sfo,nwe,sfo,30,21,377,199,2,3
200810050dal,5,Sun,dal,dal,cin,31,22,373,269,2,2
200810050crd,5,Sun,crd,crd,buf,41,17,373,287,0,4
200810050jax,5,Sun,jax,pit,jax,26,21,415,213,1,0
200810060nor,5,Mon,nor,min,nor,30,27,270,375,0,4
200810120htx,6,Sun,htx,htx,mia,29,28,485,370,4,1
200810120clt,6,Sun,clt,clt,rav,31,3,334,260,0,5
200810120nyj,6,Sun,nyj,nyj,cin,26,14,252,171,3,1
200810120tam,6,Sun,tam,tam,car,27,3,315,282,0,3
200810120atl,6,Sun,atl,atl,chi,22,20,376,361,1,1
200810120nor,6,Sun,nor,nor,rai,34,3,441,226,0,2
200810120was,6,Sun,was,ram,was,19,17,200,368,1,3
200810120min,6,Sun,min,min,det,12,10,392,212,3,1
200810120den,6,Sun,den,jax,den,24,17,416,323,2,3
200810120crd,6,Sun,crd,crd,dal,30,24,276,374,3,1
200810120sfo,6,Sun,sfo,phi,sfo,40,26,383,306,1,3
200810120sea,6,Sun,sea,gnb,sea,27,17,313,177,1,2
200810120sdg,6,Sun,sdg,sdg,nwe,30,10,404,299,1,1
200810130cle,6,Mon,cle,cle,nyg,35,14,454,373,0,3
200810190kan,7,Sun,kan,oti,kan,34,10,455,272,0,0
200810190ram,7,Sun,ram,ram,dal,34,14,325,341,0,4
200810190mia,7,Sun,mia,rav,mia,27,13,357,359,1,1
200810190buf,7,Sun,buf,buf,sdg,23,14,370,263,0,3
200810190nyg,7,Sun,nyg,nyg,sfo,29,17,273,253,0,3
200810190chi,7,Sun,chi,chi,min,48,41,327,439,1,5
200810190car,7,Sun,car,car,nor,30,7,336,343,0,2
200810190cin,7,Sun,cin,pit,cin,38,10,375,212,0,1
200810190htx,7,Sun,htx,htx,det,28,21,404,326,1,0
200810190rai,7,Sun,rai,rai,nyj,16,13,344,418,0,3
200810190gnb,7,Sun,gnb,gnb,clt,34,14,302,302,0,2
200810190was,7,Sun,was,was,cle,14,11,351,236,1,0
200810190tam,7,Sun,tam,tam,sea,20,10,402,176,1,2
200810200nwe,7,Mon,nwe,nwe,den,41,7,404,275,0,5
200810260phi,8,Sun,phi,phi,atl,27,14,432,335,1,3
200810260rav,8,Sun,rav,rav,rai,29,10,375,234,1,1
200810260nwe,8,Sun,nwe,nwe,ram,23,16,348,358,2,1
200810260dal,8,Sun,dal,dal,tam,13,9,172,262,0,1
200810260det,8,Sun,det,was,det,25,17,439,274,1,0
200810260car,8,Sun,car,car,crd,27,23,351,425,1,2
200810260nyj,8,Sun,nyj,nyj,kan,28,24,420,330,3,0
200810260mia,8,Sun,mia,mia,buf,25,16,358,339,1,4
200810260nor,8,Sun,nor,nor,sdg,37,32,409,451,0,2
200810260htx,8,Sun,htx,htx,cin,35,6,384,253,0,3
200810260jax,8,Sun,jax,cle,jax,23,17,327,380,0,1
200810260pit,8,Sun,pit,nyg,pit,21,14,282,249,0,4
200810260sfo,8,Sun,sfo,sea,sfo,34,13,261,388,0,2
200810270oti,8,Mon,oti,oti,clt,31,21,281,317,0,2
200811020ram,9,Sun,ram,crd,ram,34,13,510,231,0,3
200811020cle,9,Sun,cle,rav,cle,37,27,429,274,0,2
200811020buf,9,Sun,buf,nyj,buf,26,17,297,292,1,3
200811020chi,9,Sun,chi,chi,det,27,23,320,333,2,3
200811020oti,9,Sun,oti,oti,gnb,19,16,347,390,0,2
200811020cin,9,Sun,cin,cin,jax,21,19,312,282,2,1
200811020kan,9,Sun,kan,tam,kan,30,27,423,384,4,1
200811020min,9,Sun,min,min,htx,28,21,345,389,1,3
200811020den,9,Sun,den,mia,den,26,17,341,319,1,3
200811020rai,9,Sun,rai,atl,rai,24,0,453,77,1,2
200811020nyg,9,Sun,nyg,nyg,dal,35,14,319,183,3,4
200811020sea,9,Sun,sea,phi,sea,26,7,419,233,1,0
200811020clt,9,Sun,clt,clt,nwe,18,15,301,342,0,2
200811030was,9,Mon,was,pit,was,23,6,224,221,1,2
200811060cle,10,Thu,cle,den,cle,34,30,564,399,1,1
200811090htx,10,Sun,htx,rav,htx,41,13,328,355,0,4
200811090nwe,10,Sun,nwe,nwe,buf,20,10,370,168,1,2
200811090chi,10,Sun,chi,oti,chi,21,14,304,243,1,1
200811090det,10,Sun,det,jax,det,38,14,384,256,0,1
200811090nyj,10,Sun,nyj,nyj,ram,47,3,373,200,0,5
200811090atl,10,Sun,atl,atl,nor,34,20,361,521,0,3
200811090mia,10,Sun,mia,mia,sea,21,19,361,298,1,0
200811090min,10,Sun,min,min,gnb,28,27,361,184,3,0
200811090rai,10,Sun,rai,car,rai,17,6,219,259,4,3
200811090sdg,10,Sun,sdg,sdg,kan,20,19,400,339,2,0
200811090pit,10,Sun,pit,clt,pit,24,20,290,322,0,3
200811090phi,10,Sun,phi,nyg,phi,36,31,401,300,2,2
200811100crd,10,Mon,crd,crd,sfo,29,24,374,336,0,3
200811130nwe,11,Thu,nwe,nyj,nwe,34,31,375,511,1,1
200811160kan,11,Sun,kan,nor,kan,30,20,369,330,1,1
200811160tam,11,Sun,tam,tam,min,19,13,363,210,1,2
200811160clt,11,Sun,clt,clt,htx,33,27,474,356,0,1
200811160nyg,11,Sun,nyg,nyg,rav,30,10,353,275,1,2
200811160gnb,11,Sun,gnb,gnb,chi,37,3,427,234,1,1
200811160atl,11,Sun,atl,den,atl,24,20,332,364,0,1
200811160mia,11,Sun,mia,mia,rai,17,15,382,199,1,0
200811160cin,11,Sun,cin,phi,cin,13,13,391,282,4,1
200811160car,11,Sun,car,car,det,31,22,366,316,1,4
200811160sfo,11,Sun,sfo,sfo,ram,35,16,334,406,2,3
200811160sea,11,Sun,sea,crd,sea,26,20,458,196,3,4
200811160jax,11,Sun,jax,oti,jax,24,14,344,257,1,1
200811160pit,11,Sun,pit,pit,sdg,11,10,410,218,0,2
200811160was,11,Sun,was,dal,was,14,10,315,228,2,1
200811170buf,11,Mon,buf,cle,buf,29,27,337,334,0,4
200811200pit,12,Thu,pit,pit,cin,27,10,364,208,1,1
200811230ram,12,Sun,ram,chi,ram,27,3,334,207,2,4
200811230kan,12,Sun,kan,buf,kan,54,31,444,462,0,5
200811230mia,12,Sun,mia,nwe,mia,48,28,530,392,2,1
200811230oti,12,Sun,oti,nyj,oti,34,13,409,281,2,1
200811230rav,12,Sun,rav,rav,phi,36,7,248,206,0,5
200811230det,12,Sun,det,tam,det,38,20,255,207,3,3
200811230dal,12,Sun,dal,dal,sfo,35,22,408,304,1,2
200811230cle,12,Sun,cle,htx,cle,16,6,383,240,2,5
200811230jax,12,Sun,jax,min,jax,30,12,226,321,1,5
200811230den,12,Sun,den,rai,den,31,10,318,319,0,2
200811230atl,12,Sun,atl,atl,car,45,28,392,408,1,0
200811230crd,12,Sun,crd,nyg,crd,37,29,321,371,0,2
200811230sea,12,Sun,sea,was,sea,20,17,386,228,1,2
200811230sdg,12,Sun,sdg,clt,sdg,23,20,341,394,1,1
200811240nor,12,Mon,nor,nor,gnb,51,29,416,343,1,3
200811270det,13,Thu,det,oti,det,47,10,456,154,1,3
200811270dal,13,Thu,dal,dal,sea,34,9,447,322,1,2
200811270phi,13,Thu,phi,phi,crd,48,20,437,260,1,4
200811300ram,13,Sun,ram,mia,ram,16,12,337,278,1,3
200811300buf,13,Sun,buf,sfo,buf,10,3,195,350,1,1
200811300gnb,13,Sun,gnb,car,gnb,35,31,298,438,1,2
200811300tam,13,Sun,tam,tam,nor,23,20,254,332,1,3
200811300cle,13,Sun,cle,clt,cle,10,6,215,193,3,2
200811300cin,13,Sun,cin,rav,cin,34,3,451,155,0,1
200811300was,13,Sun,was,nyg,was,23,7,404,320,1,2
200811300sdg,13,Sun,sdg,atl,sdg,22,16,348,201,3,0
200811300nwe,13,Sun,nwe,pit,nwe,33,10,333,267,1,5
200811300nyj,13,Sun,nyj,den,nyj,34,17,484,383,1,2
200811300rai,13,Sun,rai,kan,rai,20,13,301,271,1,2
200811300min,13,Sun,min,min,chi,34,14,378,228,1,3
200812010htx,13,Mon,htx,htx,jax,30,17,326,388,1,3
200812040sdg,14,Thu,sdg,sdg,rai,34,7,372,163,1,4
200812070clt,14,Sun,clt,clt,cin,35,3,334,252,1,4
200812070gnb,14,Sun,gnb,htx,gnb,24,21,549,387,4,1
200812070chi,14,Sun,chi,chi,jax,23,10,296,278,1,1
200812070nor,14,Sun,nor,nor,atl,29,25,414,414,0,1
200812070det,14,Sun,det,min,det,20,16,301,268,2,0
200812070oti,14,Sun,oti,oti,cle,28,9,390,178,3,1
200812070nyg,14,Sun,nyg,phi,nyg,20,14,331,211,0,0
200812070buf,14,Sun,buf,mia,buf,16,3,295,163,0,2
200812070den,14,Sun,den,den,kan,24,17,425,260,1,0
200812070sfo,14,Sun,sfo,sfo,nyj,24,14,375,182,2,1
200812070sea,14,Sun,sea,nwe,sea,24,21,344,339,0,1
200812070crd,14,Sun,crd,crd,ram,34,10,335,308,1,3
200812070pit,14,Sun,pit,pit,dal,20,13,238,289,2,5
200812070rav,14,Sun,rav,rav,was,24,10,281,254,2,3
200812080car,14,Mon,car,car,tam,38,23,464,384,2,0
200812110chi,15,Thu,chi,chi,nor,27,24,226,345,3,2
200812140ram,15,Sun,ram,sea,ram,23,20,333,342,2,2
200812140kan,15,Sun,kan,sdg,kan,22,21,394,277,3,2
200812140clt,15,Sun,clt,clt,det,31,21,421,323,2,2
200812140nyj,15,Sun,nyj,nyj,buf,31,27,372,306,2,4
200812140atl,15,Sun,atl,atl,tam,13,10,373,325,3,1
200812140cin,15,Sun,cin,cin,was,20,13,310,280,0,2
200812140mia,15,Sun,mia,mia,sfo,14,9,248,318,0,0
200812140jax,15,Sun,jax,jax,gnb,20,16,323,338,0,1
200812140htx,15,Sun,htx,htx,oti,13,12,375,281,1,2
200812140crd,15,Sun,crd,min,crd,35,14,396,316,1,2
200812140rav,15,Sun,rav,pit,rav,13,9,311,202,2,2
200812140rai,15,Sun,rai,nwe,rai,49,26,487,334,1,1
200812140car,15,Sun,car,car,den,30,10,400,279,1,2
200812140dal,15,Sun,dal,dal,nyg,20,8,321,218,0,2
200812150phi,15,Mon,phi,phi,cle,30,10,418,196,3,2
200812180jax,16,Thu,jax,clt,jax,31,24,396,409,0,1
200812200dal,16,Sat,dal,rav,dal,33,24,388,327,1,2
200812210ram,16,Sun,ram,sfo,ram,17,16,273,343,4,1
200812210kan,16,Sun,kan,mia,kan,38,31,403,492,2,4
200812210nwe,16,Sun,nwe,nwe,crd,47,7,514,186,0,2
200812210oti,16,Sun,oti,oti,pit,31,14,322,374,0,4
200812210tam,16,Sun,tam,sdg,tam,41,24,370,342,0,3
200812210cle,16,Sun,cle,cin,cle,14,0,246,182,1,4
200812210det,16,Sun,det,nor,det,42,7,532,255,1,2
200812210rai,16,Sun,rai,rai,htx,27,16,362,324,1,1
200812210den,16,Sun,den,buf,den,30,23,275,532,0,2
200812210sea,16,Sun,sea,sea,nyj,13,3,295,265,2,2
200812210min,16,Sun,min,atl,min,24,17,222,350,0,4
200812210was,16,Sun,was,was,phi,10,3,249,275,0,1
200812210nyg,16,Sun,nyg,nyg,car,34,28,459,343,0,0
200812220chi,16,Mon,chi,chi,gnb,20,17,210,325,2,2
200812280cin,17,Sun,cin,cin,kan,16,6,329,220,0,1
200812280gnb,17,Sun,gnb,gnb,det,31,21,484,316,1,2
200812280clt,17,Sun,clt,clt,oti,23,0,390,125,0,0
200812280buf,17,Sun,buf,nwe,buf,13,0,241,276,0,1
200812280atl,17,Sun,atl,atl,ram,31,27,417,408,3,0
200812280pit,17,Sun,pit,pit,cle,31,0,369,126,1,2
200812280tam,17,Sun,tam,rai,tam,31,24,337,380,1,1
200812280nor,17,Sun,nor,car,nor,33,31,478,417,0,2
200812280htx,17,Sun,htx,htx,chi,31,24,455,294,1,1
200812280min,17,Sun,min,min,nyg,20,19,328,357,1,0
200812280sfo,17,Sun,sfo,sfo,was,27,24,359,268,1,1
200812280crd,17,Sun,crd,crd,sea,34,21,457,330,2,3
200812280phi,17,Sun,phi,phi,dal,44,6,303,298,1,5
200812280rav,17,Sun,rav,rav,jax,27,7,431,245,0,4
200812280nyj,17,Sun,nyj,mia,nyj,24,17,319,331,1,4
200812280sdg,17,Sun,sdg,sdg,den,52,21,491,406,0,2
